Code,Part no,Partcode,Desc,Plan-IT FC,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,Apr-26,Total Qty,Sales Trend,L12 M sales,L6 M Sales,L3 M Sales,Max,Trend,Monthly FC  L6 M,FC Variance,% Variance,Trend
VO,20829689,VO20829689,SENSOR,,,,1,,,,,1,,,,1,3,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,20835246,VO20835246,MASTER CYLINDER,,,,1,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,20840631,VO20840631,SOCKET,,,,,,1,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,20851010,VO20851010,SEALING RING,,2,,,,,,,,,,,,2,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,20852764,VO20852764,GASKET,,1,,,,2,,,,,,,,3,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,20852765,VO20852765,GASKET,,,,,,,4,,,,2,6,,12,, 1 , 1 , 3 , 3 , 3.00 , 1.00 , 1.00 , 100.0% ▲, Upward Trend
VO,20855371,VO20855371,GASKET,,,,,,,,,,,,6,24,30,, 3 , 5 , 10 , 10 , 3.30 , 5.00 , 5.00 , 100.0% ▲, Upward Trend
VO,20864583,VO20864583,REPAIR KIT,,,,,,,,,1,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,20867178,VO20867178,MAIN BEARING KIT STD,,,,7,,,,,,,,,,7,, 1 , -   , -   , 1 , -   , -   , -   , ►, Downward Trend
VO,20869391,VO20869391,BOWL,,1,,,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,20883435,VO20883435,GASKET,,,,2,,,,,,,,,,2,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,20884121,VO20884121,REPAIR KIT,,,,1,,,2,,,,,,,3,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,20888628,VO20888628,ARM,,1,,,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,20889192,VO20889192,ARM,,1,4,2,,,,,,,,,,7,, 1 , -   , -   , 1 , -   , -   , -   , ►, Downward Trend
VO,20891854,VO20891854,DISC,,,,,,,,,1,,,,1,2,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,20894628,VO20894628,CLAMP,,,,,,,,22,,,,,,22,, 2 , 4 , -   , 4 , -   , 4.00 , 4.00 , 100.0% ▲, Downward Trend
VO,20894629,VO20894629,CLAMP,,,,,,2,,1,,,,,,3,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,20900327,VO20900327,VALVE SEAT,,,,,,,,,,,,2,,2,, -   , -   , 1 , 1 , -   , -   , -   , ►, Downward Trend
VO,20907634,VO20907634,DEFLECTOR,,,,,,,,1,,,,1,,2,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,20909764,VO20909764,HOSE,,1,,,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,20912514,VO20912514,SENSOR KIT,,,1,,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,20915849,VO20915849,HOSE CLAMP,,,,,,,,,1,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,20917278,VO20917278,HAND PUMP,,,1,,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,20919484,VO20919484,VALVE GUIDE,,,,,,,,,,,,4,,4,, -   , 1 , 1 , 1 , -   , 1.00 , 1.00 , 100.0% ▲, Downward Trend
VO,20922305,VO20922305,TILT CYLINDER,,1,,,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,20922589,VO20922589,CABLE,,1,,,,,,3,2,,1,,1,8,, 1 , 1 , 1 , 1 , 1.00 , 1.00 , 1.00 , 100.0% ▲, Moderate Trend
VO,20938685,VO20938685,CONNECTOR,,,,,,,,,4,,,,,4,, -   , 1 , -   , 1 , -   , 1.00 , 1.00 , 100.0% ▲, Downward Trend
VO,20953568,VO20953568,SWITCH,,1,,,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,20953570,VO20953570,SWITCH,,,,1,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,20966752,VO20966752,O-RING,,,1,,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,20967831,VO20967831,BEARING,,1,,,,,,,,1,1,,,3,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,20968388,VO20968388,HOSE,,,1,,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,20968740,VO20968740,HOSE,,,,1,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,20968999,VO20968999,REPAIR KIT,,,,,,,,,,1,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,20989415,VO20989415,VALVE,,,,1,0,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,20995564,VO20995564,BEARING KIT,,,,,,,,2,2,,,,,4,, -   , 1 , -   , 1 , -   , 1.00 , 1.00 , 100.0% ▲, Downward Trend
VO,20998367,VO20998367,FUEL FILTER,,1,,,,1,,2,,1,,1,,6,, 1 , 1 , -   , 1 , -   , 1.00 , 1.00 , 100.0% ▲, Downward Trend
VO,20998807,VO20998807,OIL FILTER,,3,,,,,,,,,,,,3,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21004224,VO21004224,OIL COOLER,,,,1,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21016548,VO21016548,PIPE,,,,,,,,1,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21019159,VO21019159,RELAY,,1,,,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21021925,VO21021925,CONNECTING PIPE,,,,,,,,,,,,1,3,4,, -   , 1 , 1 , 1 , -   , 1.00 , 1.00 , 100.0% ▲, Downward Trend
VO,21052612,VO21052612,CONNECTOR,,,,,,,,1,,1,,,,2,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21054149,VO21054149,BALL SOCKET,,,,,,1,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21061326,VO21061326,GASKET,,,,1,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21063612,VO21063612,EVAPORATOR,,1,1,1,2,,,,2,,,,,7,, 1 , -   , -   , 1 , -   , -   , -   , ►, Downward Trend
VO,21087164,VO21087164,TUBE,,,,,,2,,2,,,,,,4,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21088101,VO21088101,FUEL FILTER,,1,,,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21092243,VO21092243,SEALING RING,,,,5,2,,,4,,,4,,,15,, 1 , 1 , 1 , 1 , 1.00 , 1.00 , 1.00 , 100.0% ▲, Moderate Trend
VO,21094387,VO21094387,REAR FENDER,,,,,,,,,,,,,2,2,, -   , -   , 1 , 1 , -   , -   , -   , ►, Downward Trend
VO,21094388,VO21094388,MUDGUARD,,,,,,,,,,,,3,6,9,, 1 , 2 , 3 , 3 , 3.00 , 2.00 , 2.00 , 100.0% ▲, Upward Trend
VO,21094391,VO21094391,MUDGUARD,,,,1,,,,,,,,1,0,2,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21094394,VO21094394,REAR FENDER,,,,,,,,,,,,2,0,2,, -   , -   , 1 , 1 , -   , -   , -   , ►, Downward Trend
VO,21094449,VO21094449,CAP,,,,,,,,,,,,2,0,2,, -   , -   , 1 , 1 , -   , -   , -   , ►, Downward Trend
VO,21094450,VO21094450,CAP,,,,,,,,,,,,3,0,3,, -   , 1 , 1 , 1 , -   , 1.00 , 1.00 , 100.0% ▲, Downward Trend
VO,21094454,VO21094454,BRACKET,,,,,,,,,,,,6,0,6,, 1 , 1 , 2 , 2 , 2.00 , 1.00 , 1.00 , 100.0% ▲, Upward Trend
VO,21094456,VO21094456,BRACKET,,,,,,,,,,,,1,0,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21097382,VO21097382,MANIFOLD,,,1,1,0,1,1,,,,,,,4,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21101027,VO21101027,COMPRESSOR,,,,,,,,1,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21103569,VO21103569,SEALING RING,,,,1,1,-2,4,1,2,3,1,3,,14,, 1 , 2 , 1 , 2 , 1.00 , 2.00 , 2.00 , 100.0% ▲, Moderate Trend
VO,21112140,VO21112140,CONNECTOR,,,,,,,,,,,1,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21124668,VO21124668,MUDFLAP,,,,1,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21133116,VO21133116,EXHAUST PIPE,,,,,1,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21138455,VO21138455,HOUSING,,,,,,1,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21140387,VO21140387,SPRING,,,,,,,,,6,6,,,4,16,, 1 , 3 , 1 , 3 , 1.00 , 3.00 , 3.00 , 100.0% ▲, Moderate Trend
VO,21171973,VO21171973,SHOCK ABSORBER,,,,,,,2,,,2,1,4,2,11,, 1 , 2 , 2 , 2 , 2.00 , 2.00 , 2.00 , 100.0% ▲, Upward Trend
VO,21175831,VO21175831,BUSHING,,,,,12,16,,,2,16,27,26,10,109,, 9 , 14 , 21 , 21 , 2.30 , 14.00 , 14.00 , 100.0% ▲, Upward Trend
VO,21177259,VO21177259,CONNECTOR,,,,1,,,,,,,,,1,2,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21182661,VO21182661,LOCK NUT,,,,,,,,,,,,,2,2,, -   , -   , 1 , 1 , -   , -   , -   , ►, Downward Trend
VO,21196270,VO21196270,REPAIR KIT,,,,,,,,,,,1,,1,2,, -   , -   , 1 , 1 , -   , -   , -   , ►, Downward Trend
VO,21196798,VO21196798,REACTION ROD,,,,,,,,,,,,1,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21201546,VO21201546,PIPE,,,,,,,,,,,,,1,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21210537,VO21210537,SENSOR WHEEL,,,1,1,2,1,,1,,,,2,,8,, 1 , 1 , 1 , 1 , 1.00 , 1.00 , 1.00 , 100.0% ▲, Moderate Trend
VO,21211221,VO21211221,SWITCH,,,,,,,,,1,1,,,,2,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21225667,VO21225667,CONTACT REEL,,,,,,,1,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21227124,VO21227124,SEALING RING,,,1,,,,,3,,,4,,,8,, 1 , 1 , 1 , 1 , 1.00 , 1.00 , 1.00 , 100.0% ▲, Moderate Trend
VO,21229589,VO21229589,hose,,,,,,,,,,,,,2,2,, -   , -   , 1 , 1 , -   , -   , -   , ►, Downward Trend
VO,21231593,VO21231593,BRACKET,,2,,,,2,3,,,1,,1,0,9,, 1 , -   , -   , 1 , -   , -   , -   , ►, Downward Trend
VO,21243844,VO21243844,MAIN SWITCH,,,,1,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21244615,VO21244615,BRACKET,,,,,,,,,,,,,1,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21244695,VO21244695,GASKET,,,,,,,,1,1,2,2,,1,7,, 1 , 1 , 1 , 1 , 1.00 , 1.00 , 1.00 , 100.0% ▲, Moderate Trend
VO,21244697,VO21244697,RELAY,,,1,,,,,2,8,1,4,,,16,, 1 , 3 , 1 , 3 , 1.00 , 3.00 , 3.00 , 100.0% ▲, Moderate Trend
VO,21244698,VO21244698,RELAY,,,,,,,,,,,1,1,,2,, -   , -   , 1 , 1 , -   , -   , -   , ►, Downward Trend
VO,21244773,VO21244773,GRILLE,,,,1,,1,,,,,1,,,3,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21247533,VO21247533,CONNECTOR,,,,,,,,1,1,0,,,,2,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21255974,VO21255974,RELAY,,,,,,,,,,2,,9,4,15,, 1 , 3 , 4 , 4 , 4.00 , 3.00 , 3.00 , 100.0% ▲, Upward Trend
VO,21258220,VO21258220,HOSE,,,1,,,1,,,,,,3,,5,, -   , 1 , 1 , 1 , -   , 1.00 , 1.00 , 100.0% ▲, Downward Trend
VO,21259899,VO21259899,CHARGE AIR HOSE,,,1,,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21263753,VO21263753,CONNECTOR,,,,,,,,,,,10,,,10,, 1 , 2 , 3 , 3 , 3.00 , 2.00 , 2.00 , 100.0% ▲, Upward Trend
VO,21264219,VO21264219,CONNECTOR,,,,,,1,,,,,1,1,1,4,, -   , 1 , 1 , 1 , -   , 1.00 , 1.00 , 100.0% ▲, Downward Trend
VO,21264803,VO21264803,CONNECTOR,,,,1,,,,0,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21264805,VO21264805,CONNECTOR,,,,1,1,1,,1,1,1,1,,,7,, 1 , 1 , -   , 1 , -   , 1.00 , 1.00 , 100.0% ▲, Downward Trend
VO,21271982,VO21271982,SENSOR,,,,,,2,,1,,,,,,3,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21276079,VO21276079,FILTER INSERT,,3,,,,,,,,,,,,3,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21282255,VO21282255,GASKET,,,,1,,1,,,,,,2,3,7,, 1 , 1 , 2 , 2 , 2.00 , 1.00 , 1.00 , 100.0% ▲, Upward Trend
VO,21285163,VO21285163,TEMPERATURE SENSOR,,,2,,,,,1,,,,1,,4,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21285922,VO21285922,SLEEVE,,,,,,,,,,,,2,2,4,, -   , 1 , 1 , 1 , -   , 1.00 , 1.00 , 100.0% ▲, Downward Trend
VO,21288160,VO21288160,HOSE,,,,,,,,1,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21288162,VO21288162,HOSE,,,,,,,,1,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21293367,VO21293367,SEALING STRIP,,,,2,,1,1,2,4,3,1,5,6,25,, 2 , 4 , 4 , 4 , 2.00 , 4.00 , 4.00 , 100.0% ▲, Upward Trend
VO,21294062,VO21294062,GASKET,,,,1,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21298915,VO21298915,SEALING STRIP,,,,,,,,,,,,3,2,5,, -   , 1 , 2 , 2 , -   , 1.00 , 1.00 , 100.0% ▲, Downward Trend
VO,21303956,VO21303956,WHEEL NUT,,38,39,29,36,43,29,37,31,1,14,20,29,346,, 29 , 22 , 21 , 29 , 0.70 , 22.00 , 22.00 , 100.0% ▲, Downward Trend
VO,21311265,VO21311265,BUTTON,,,,,,,,,,,,1,1,2,, -   , -   , 1 , 1 , -   , -   , -   , ►, Downward Trend
VO,21311610,VO21311610,COVER,,,,1,,,,,,,1,,,2,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21312237,VO21312237,CHARGE AIR HOSE,,,1,,1,,,,,,,,,2,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21312238,VO21312238,CHARGE AIR HOSE,,,1,,,,,,,,,1,,2,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21313188,VO21313188,QUICK COUPLING,,4,,,,,,,,,2,,,6,, 1 , -   , 1 , 1 , 1.00 , -   , -   , ►, Moderate Trend
VO,21317266,VO21317266,SEALING RING,,,,1,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21324327,VO21324327,OIL FILTER KIT,,,,,,,,,,1,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21333684,VO21333684,BUMP STOP,,,1,,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21333686,VO21333686,BUMP STOP,,,2,2,3,8,4,1,,2,2,9,2,35,, 3 , 3 , 4 , 4 , 1.30 , 3.00 , 3.00 , 100.0% ▲, Upward Trend
VO,21337519,VO21337519,HOUSING,,,,,,1,1,,1,0,,,,3,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21337527,VO21337527,COVER,,,,,,1,1,,,,,,,2,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21337557,VO21337557,FILTER,,11,20,22,8,1,39,15,12,1,5,31,9,174,, 15 , 12 , 15 , 15 , 1.00 , 12.00 , 12.00 , 100.0% ▲, Moderate Trend
VO,21338306,VO21338306,ADAPTER,,,,,,,,,1,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21339181,VO21339181,PRESSURE LIMITING VALVE,,,,,,,,,1,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21339891,VO21339891,HOSE,,2,,,,2,,4,2,1,3,2,,16,, 1 , 2 , 2 , 2 , 2.00 , 2.00 , 2.00 , 100.0% ▲, Upward Trend
VO,21339943,VO21339943,CONNECTOR,,,,,,,,,1,,,1,,2,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21344746,VO21344746,FLANGE SCREW,,,,4,,,,,,,14,2,,20,, 2 , 3 , 5 , 5 , 2.50 , 3.00 , 3.00 , 100.0% ▲, Upward Trend
VO,21344774,VO21344774,FLANGE SCREW,,,,6,,-1,1,1,,,6,12,,25,, 2 , 3 , 6 , 6 , 3.00 , 3.00 , 3.00 , 100.0% ▲, Upward Trend
VO,21344787,VO21344787,FLANGE SCREW,,,,,,,,,,,,4,,4,, -   , 1 , 1 , 1 , -   , 1.00 , 1.00 , 100.0% ▲, Downward Trend
VO,21346946,VO21346946,FUEL PIPE,,,,,,,,,,,,,1,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21349444,VO21349444,SOCKET,,,,1,,,,,,,,,1,2,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21351717,VO21351717,INJECTOR SLEEVE,,,,6,,-1,7,,,,,,,12,, 1 , -   , -   , 1 , -   , -   , -   , ►, Downward Trend
VO,21354759,VO21354759,EXPANSION VALVE,,,1,,,,,,,,,1,4,6,, 1 , 1 , 2 , 2 , 2.00 , 1.00 , 1.00 , 100.0% ▲, Upward Trend
VO,21360115,VO21360115,PRESSURE CAP,,,1,,,-1,1,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21363702,VO21363702,COMPRESSION FITTING,,,,,1,1,1,2,2,,,4,4,15,, 1 , 2 , 3 , 3 , 3.00 , 2.00 , 2.00 , 100.0% ▲, Upward Trend
VO,21363811,VO21363811,BRACKET,,,,1,,,,1,1,,,1,,4,, -   , 1 , -   , 1 , -   , 1.00 , 1.00 , 100.0% ▲, Downward Trend
VO,21364512,VO21364512,PLUG,,,,1,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21365427,VO21365427,BELT CATCH,,,,,,,,,,,,3,0,3,, -   , 1 , 1 , 1 , -   , 1.00 , 1.00 , 100.0% ▲, Downward Trend
VO,21367718,VO21367718,CYLINDER LINER KIT,,,,6,,,,,,,,,,6,, 1 , -   , -   , 1 , -   , -   , -   , ►, Downward Trend
VO,21368800,VO21368800,ARM,,,,,,,,,1,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21369295,VO21369295,RUBBER EXPANDER,,,6,,,12,6,16,14,0,14,26,0,94,, 8 , 12 , 13 , 13 , 1.60 , 12.00 , 12.00 , 100.0% ▲, Upward Trend
VO,21369297,VO21369297,INSECT SCREEN,,1,,,,1,,,,,,,,2,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21369959,VO21369959,SPRING SHACKLE BOLT,,1,,,,,,,3,,,,,4,, -   , 1 , -   , 1 , -   , 1.00 , 1.00 , 100.0% ▲, Downward Trend
VO,21376743,VO21376743,SLEEVE,,2,,,1,1,1,,,,,3,1,9,, 1 , 1 , 1 , 1 , 1.00 , 1.00 , 1.00 , 100.0% ▲, Moderate Trend
VO,21380391,VO21380391,CONNECTOR,,1,,,,,,1,,1,4,,,7,, 1 , 1 , 1 , 1 , 1.00 , 1.00 , 1.00 , 100.0% ▲, Moderate Trend
VO,21380475,VO21380475,FUEL FILTER,,5,2,6,,,,,7,1,1,,1,23,, 2 , 2 , 1 , 2 , 0.50 , 2.00 , 2.00 , 100.0% ▲, Downward Trend
VO,21380488,VO21380488,FUEL FILTER,,2,1,21,1,-2,7,2,1,2,2,1,2,40,, 3 , 2 , 2 , 3 , 0.70 , 2.00 , 2.00 , 100.0% ▲, Downward Trend
VO,21387725,VO21387725,COVER PLATE,,,,,0,,,,1,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21392400,VO21392400,FILLER CAP,,,1,,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21392402,VO21392402,RUBBER MOULDING,,,,,,,2,,2,,,,,4,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21392403,VO21392403,SPRING,,,,,,,,1,1,,,,,2,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21393278,VO21393278,FLANGE SCREW,,,,,,,,,2,,,,,2,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21393355,VO21393355,SPACER SLEEVE,,,,,2,,,,,,,,,2,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21395512,VO21395512,CONNECTOR,,,,,,,,,,,8,,,8,, 1 , 1 , 3 , 3 , 3.00 , 1.00 , 1.00 , 100.0% ▲, Upward Trend
VO,21396128,VO21396128,SENSOR,,3,2,,1,,,,,,,1,,7,, 1 , -   , -   , 1 , -   , -   , -   , ►, Downward Trend
VO,21397054,VO21397054,WIRE,,,,,,,,,,1,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21400592,VO21400592,BUMP STOP,,1,1,1,1,2,2,1,4,1,4,,1,19,, 2 , 2 , 2 , 2 , 1.00 , 2.00 , 2.00 , 100.0% ▲, Moderate Trend
VO,21403191,VO21403191,ARM,,,,,,,,,,1,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21408268,VO21408268,CABLE,,,5,10,,,,,,,,,,15,, 1 , -   , -   , 1 , -   , -   , -   , ►, Downward Trend
VO,21410718,VO21410718,EMBLEM,,,1,1,,1,1,2,1,,1,3,,11,, 1 , 1 , 1 , 1 , 1.00 , 1.00 , 1.00 , 100.0% ▲, Moderate Trend
VO,21410724,VO21410724,EMBLEM,,1,,,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21413877,VO21413877,GASKET KIT,,,,1,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21416526,VO21416526,RUBBER CUSHION,,,,,,5,3,3,4,,1,21,5,42,, 4 , 6 , 9 , 9 , 2.30 , 6.00 , 6.00 , 100.0% ▲, Upward Trend
VO,21420800,VO21420800,CONNECTING BAR,,,,,,,,,,1,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21422745,VO21422745,GASKET KIT,,,,1,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21422765,VO21422765,BELT TENSIONER,,,,1,,,,1,,,,,,2,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21426987,VO21426987,SPEED MONITOR,,,,1,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21428480,VO21428480,HOUSING,,,,,,,,,1,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21430606,VO21430606,ADJUSTING SCREW,,,,,,1,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21430905,VO21430905,SHOCK ABSORBER,,2,2,2,,4,4,1,4,2,8,4,2,35,, 3 , 4 , 5 , 5 , 1.70 , 4.00 , 4.00 , 100.0% ▲, Upward Trend
VO,21432396,VO21432396,LEVELING KIT,,,,,,,1,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21432505,VO21432505,COVER PANEL,,,,,,,,,,,,,1,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21445539,VO21445539,V-CLAMP,,,,,,,1,2,,1,2,,,6,, 1 , 1 , 1 , 1 , 1.00 , 1.00 , 1.00 , 100.0% ▲, Moderate Trend
VO,21447682,VO21447682,GASKET,,,,,,,,,,,1,1,3,5,, -   , 1 , 2 , 2 , -   , 1.00 , 1.00 , 100.0% ▲, Downward Trend
VO,21448461,VO21448461,LIP SEAL,,,,1,,1,,1,2,,2,,,7,, 1 , 1 , 1 , 1 , 1.00 , 1.00 , 1.00 , 100.0% ▲, Moderate Trend
VO,21448891,VO21448891,OIL STRAINER,,,,1,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21450362,VO21450362,COVER,,,2,,,1,,,1,,,1,,5,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21451966,VO21451966,BRAKE DRUM,,,,,,,,,,,,,2,2,, -   , -   , 1 , 1 , -   , -   , -   , ►, Downward Trend
VO,21451967,VO21451967,BRAKE DRUM,,,1,,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21454549,VO21454549,IDLER PULLEY,,,,,,,,,,,,1,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21455173,VO21455173,CONNECTOR,,,,,,,,,,,2,,,2,, -   , -   , 1 , 1 , -   , -   , -   , ►, Downward Trend
VO,21459100,VO21459100,BRACKET,,,,,,,,,4,,,,,4,, -   , 1 , -   , 1 , -   , 1.00 , 1.00 , 100.0% ▲, Downward Trend
VO,21468479,VO21468479,BRACKET,,,,,,,1,,,,,1,0,2,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21477413,VO21477413,AIR INLET,,,,1,,1,,,,,1,,,3,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21479106,VO21479106,OIL FILTER KIT,,6,2,3,5,5,5,14,4,2,2,,2,50,, 4 , 4 , 1 , 4 , 0.30 , 4.00 , 4.00 , 100.0% ▲, Downward Trend
VO,21479276,VO21479276,BELT TENSIONER,,1,,1,,,,,,,,,,2,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
VO,21479808,VO21479808,NIPPLE,,,,,,,,,,,,10,4,14,, 1 , 2 , 5 , 5 , 5.00 , 2.00 , 2.00 , 100.0% ▲, Upward Trend
VO,21482847,VO21482847,ENGAGING RING,,,,,,,,,1,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
